label	col_00	col_01	col_02	col_03	col_04	col_05	col_06	col_07	col_08	col_09	col_10	col_11
1	565 m^2	0.0719	bioengineering	Computer Engineering, Biotechnology, Computer Game Design, Statistics	308	DOG	34	-0.0333	1375	0.8656	-0.0761	377
0	851 m^2	0.3185	Applied Mathematics	Human Computer Interaction, Computational Media, Data Science	103	guinea pig	740	-0.0145	595	0.9723	0.7166	712
1	393 m^2	0.4696	Electrical Engineering	Applied Mathematics	934	pig	577	-0.0725	1340	0.9037	0.238	278
2	185 m^2	0.7433	Games and Playable Media	Games and Playable Media	868	hamster	927	0.8243	-1037	-0.0086	0.771	62
0	811 m^2	0.9232	Applied Mathematics	Computer Game Design, Computer Engineering	617	ferret	232	0.3404	454	0.6932	0.6584	-66
2	-17 m^2	0.8286	Computer Science	Applied Mathematics, Robotics Engineering	1308	bird	357	0.9842	109	0.28	0.5136	80
1	399 m^2	-0.2393	Bioengineering	Computer Engineering, Computer Science, Biotechnology, Computer Game Design	506	rabbit	598	0.5307	1070	1.5824	0.0228	140
2	317 m^2	0.4512	Biotechnology	Robotics Engineering	615	bird	641	0.9683	643	0.0732	0.4423	185
2	-49 m^2	None	Games And Playable Media	Games and Playable Media, Applied Mathematics	960	reptile	1055	0.9693	-232	-0.1366	0.8058	500
2	194 m^2	0.6786	Computer Science	Robotics Engineering, Games and Playable Media	1555	bird	1095	0.7684	-358	-0.0511	0.7001	441
2	193 m^2	0.9	Computer Science	Technology and Information Management, Games and Playable Media, Applied Mathematics	945	reptile	627	0.8611	-12	0.0991	0.5936	-351
2	10 m^2	1.141	Computer Science	Applied Mathematics, Technology and Information Management	760	reptile	343	0.4702	106	0.1066	0.1253	-284
1	533 m^2	0.2611	Technology and Information Management	Computer Science	540	bird	546	-0.0787	949	0.7384	-0.0243	52
1	778 m^2	-0.2229	Computer Engineering	Computer Game Design	508	rabbit	544	-0.0713	870	1.0883	0.1662	325
0	870 m^2	0.6909	Statistics	Computational Media, Natural Language Processing	-122	dog	-13	0.7501	302	0.769	0.6938	600
1	1181 m^2	0.1056	Computer Engineering	Computer Game Design, Computer Science, Statistics, Computer Engineering	493	dog	427	0.431	675	0.975	-0.1022	296
2	-461 m^2	0.53	Biotechnology	Robotics Engineering, Applied Mathematics	996	hamster	889	1.2606	392	0.3287	0.8808	None
2	400 m^2	0.74	Computer Science	Bioinformatics, Natural Language Processing, Data Science, Computational Media, Electrical Engineering	508	bird	903	0.9572	-142	-0.0365	0.5906	-194
2	110 m^2	0.6757	Bioengineering	Applied Mathematics	895	dog	896	1.0307	239	0.2876	0.5459	505
0	1165 m^2	0.3163	Computer Game Design	Data Science, Electrical Engineering, Human Computer Interaction, Bioengineering, Computational Media	439	ferret	9	0.3249	1029	0.7499	0.8103	1315
1	820 m^2	-0.6509	Electrical Engineering	NULL	285	chicken	-41	0.721	1488	0.8738	-0.1253	200
0	984 m^2	0.532	Data Science	Natural Language Processing	400	ferret	405	0.4745	997	0.3066	?	959
1	752 m^2	0.2278	Computational Media	Computer Engineering, Computer Science	622	dog	1024	0.034	963	1.3991	-0.0057	313
2	610 m^2	0.6296	Games and Playable Media	Applied Mathematics	967	bird	900	0.9183	449	0.1916	0.5326	-585
0	992 m^2	0.2645	Applied Mathematics	Bioinformatics, Electrical Engineering, Human Computer Interaction	-222	fish	n/a	0.4522	168	0.6971	0.8619	5
1	523 m^2	0.0748	Bioengineering	Computer Science, Biotechnology, Computer Engineering	394	pig	405	-0.0175	540	1.4075	0.1899	878
2	256 m^2	0.5375	Computer Science	Applied Mathematics	1130	reptile	498	0.4068	-432	-0.2056	0.4851	447
1	261 m^2	-0.2885	Electrical Engineering	Computer Engineering, Computer Science	351	pig	716	0.0934	1243	0.9922	0.0705	767
0	741 m^2	0.5408	Natural Language Processing	Human Computer Interaction, Electrical Engineering	281	guinea pig	188	0.6234	520	0.5307	0.8196	17
1	361 m^2	0.3636	Human Computer Interaction	Computer Game Design, Statistics, Computer Engineering	568	pig	704	-0.0445	768	0.8493	-0.0971	519
1	882 m^2	0.5064	Electrical Engineering	COMPUTER GAME DESIGN	995	rat	467	0.3274	1145	1.133	0.1673	594
1	665 m^2	-0.079	Computational Media	Statistics, Computer Game Design	516	dog	183	0.0169	595	0.8913	0.1407	363
2	392 m^2	1.1578	Games and Playable Media	Applied Mathematics	888	hamster	627	0.9981	92	-0.1701	0.5965	95
1	436 m^2	0.2105	NULL	Biotechnology, Computer Science	539	dog	195	0.4644	588	1.1746	-0.0472	156
2	84 m^2	0.5994	Robotics Engineering	Games and Playable Media, Robotics Engineering, Applied Mathematics	550	hamster	631	0.8924	185	0.081	0.7315	254
2	336 m^2	0.6058	Biotechnology	Games and Playable Media, Applied Mathematics	762	bird	816	0.6872	-688	-0.0099	0.745	219
0	896 m^2	0.6281	Natural Language Processing	Data Science, Electrical Engineering, Bioinformatics, Human Computer Interaction	92	guinea pig	355	-0.1835	-22	0.6014	0.9984	975
2	547 m^2	0.5031	Robotics Engineering	Technology and Information Management, Robotics Engineering, Games and Playable Media	1313	bird	901	1.4759	-23	0.5073	0.8681	241
0	882 m^2	0.3337	Statistics	Natural Language Processing, Bioengineering	?	ferret	223	0.4502	-138	0.2797	1.1394	771
0	1365 m^2	0.6876	Statistics	None	158	ferret	N/A	0.6165	-99	1.0513	1.0458	558
1	689 m^2	0.194	Data Science	Computer Game Design, Biotechnology	153	rabbit	333	0.1877	1168	1.0255	0.1518	n/a
1	475 m^2	-0.0492	Computational Media	Computer Science, Statistics, Computer Engineering, Computer Game Design	448	rabbit	104	0.0179	917	1.4201	0.1835	504
1	930 m^2	0.2054	Bioengineering	Computer Science	440	chicken	437	0.3235	1170	0.3529	0.4542	519
0	756 m^2	?	NULL	Natural Language Processing	455	fish	268	0.3832	337	0.4592	0.8917	557
0	1081 m^2	0.606	Natural Language Processing	Computational Media	-132	ferret	391	0.8153	-244	1.3718	0.865	1290
1	649 m^2	0.1301	Human Computer Interaction	Computer Engineering, Computer Game Design	760	chicken	589	0.2276	1444	1.067	-0.0149	-236
1	528 m^2	-0.0925	Technology and Information Management	Games and Playable Media	756	rabbit	533	0.0344	1028	0.9409	0.1579	241
2	87 m^2	0.5425	Biotechnology	Technology and Information Management, Applied Mathematics	822	reptile	641	0.8257	-216	-0.0706	0.7314	521
1	902 m^2	0.646	Bioengineering	Computer Engineering, Biotechnology, Computer Science	581	Cat	347	0.2603	792	0.791	-0.3248	575
0	953 m^2	0.3099	Computer Game Design	Electrical Engineering, Computational Media, Bioengineering, Human Computer Interaction, Data Science, Natural Language Processing	-50	fish	-20	0.2022	567	1.0915	0.3709	516
1	467 m^2	-0.2348	Technology and Information Management	Statistics	762	guinea pig	363	0.2301	657	0.6391	0.282	144
1	359 m^2	0.1325	Computational Media	Computer Engineering, Biotechnology, Statistics	697	cat	305	0.5122	1527	0.7671	0.0353	727
